ID;Bezeichner;Footprint;Stückzahl;Bezeichnung;Anbieter und Referenz
1;J2;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal;1;USB_C_Receptacle_USB2.0;640-USB4105-GF-A-120
2;SW2,SW1;SW_PUSH_6mm;2;SW_Push;611-PTS645SH432
3;C4;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;2.2uF;187-CL21A225KAFNNNG
4;D5,D1,D6;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;LED;710-150080RS75000
5;L1;L_7.3x7.3_H4.5;1;47uH;871-B82472G6473M000 
6;C11;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;0.47uF/25V;187-CL21A475KAQNNNG
7;R11,R4,R12;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;470R;IMS
8;D7,D2,D4,D3;D_SOD-123F;4;D_Schottky;755-RB161MM-20TR
9;C16;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;100nF;IMS
10;C2,C1,C10,C13;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;4;4.7uF/25V;187-CL21A475KAQNNNE
11;Q3,Q2;SOT-323_SC-70_Handsoldering;2;Q_PMOS_GSD;942-IRLML6402TRPBF 
12;C12,C14,C9,C8,C3,C7,C5,C18,C15;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;9;1uF/25V;187-CL21B105KAFNFNE
13;C6;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;470pF;IMS
14;R6,R9,R10,R7,R8;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;5;10K;IMS
15;U2;SOT-23-5_HandSoldering;1;MIC5219-3.3YM5;998-MIC5219-3.3YM5TR
16;C17;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;100nF/16V;IMS
17;1;ESP32-C3-WROOM-02;1;ESP32-C3-WROOM-02;356-ESP32C3WROOM02N4
18;R3;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;2k;603-RC0805FR-072KP
19;U3;TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal;1;ePD_iTC;571-2-1734839-4
20;R5;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;0R;IMS
21;R2,R1;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;5.1k;603-RT0805FRE135K1L
22;U1;SOT-23-5_HandSoldering;1;MCP73831-2-OT;579-MCP73831T-2ACIOT
23;R13;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;100K;IMS
24;Q1;SOT-323_SC-70_Handsoldering;1;Q_NMOS_GSD;78-SI1308EDL-T1-GE3
25;;Pogo Pins;2;;575-907811
26;;ePaper;;;
;;Battery;;;
;;USB C-A Kabel;;;
